ID;Alter;Tier1;Tier2;Tier3;Tier4;Tier5;Tier6;Tier7;Tier8;Tier9;LZ;Haustier;Veg;Geschlecht;Baer_img_0;Baer_int_0;Baer_val_0;Baer_fam_0;Elef_img_0;Elef_int_0;Elef_val_0;Elef_fam_0;Horn_img_0;Horn_int_0;Horn_val_0;Horn_fam_0;Hund_img_0;Hund_int_0;Hund_val_0;Hund_fam_0;Katz_img_0;Katz_int_0;Katz_val_0;Katz_fam_0;Loew_img_0;Loew_int_0;Loew_val_0;Loew_fam_0;Pony_img_0;Pony_int_0;Pony_val_0;Pony_fam_0;Scha_img_0;Scha_int_0;Scha_val_0;Scha_fam_0;Schl_img_0;Schl_int_0;Schl_val_0;Schl_fam_0;Skal_img_0;Skal_int_0;Skal_val_0;Skal_fam_0;Tige_img_0;Tige_int_0;Tige_val_0;Tige_fam_0;Wink_img_0;Wink_int_0;Wink_val_0;Wink_fam_0;Baer_F;Elef_F;Horn_F;Hund_F;Katz_F;Loew_F;Pony_F;Scha_F;Schl_F;Skal_F;Tige_F;Wink_F;Baer_img_1;Baer_int_1;Baer_val_1;Baer_est_1;Elef_img_1;Elef_int_1;Elef_val_1;Elef_est_1;Horn_img_1;Horn_int_1;Horn_val_1;Horn_est_1;Hund_img_1;Hund_int_1;Hund_val_1;Hund_est_1;Katz_img_1;Katz_int_1;Katz_val_1;Katz_est_1;Loew_img_1;Loew_int_1;Loew_val_1;Loew_est_1;Pony_img_1;Pony_int_1;Pony_val_1;Pony_est_1;Scha_img_1;Scha_int_1;Scha_val_1;Scha_est_1;Schl_img_1;Schl_int_1;Schl_val_1;Schl_est_1;Skal_img_1;Skal_int_1;Skal_val_1;Skal_est_1;Tige_img_1;Tige_int_1;Tige_val_1;Tige_est_1;Wink_img_1;Wink_int_1;Wink_val_1;Wink_est_1
075ljvnxbf36nf5;20;Katze;Huhn;;;;;;;;6;Ja;Ja;m;bear;67;92;22;elef;22;79;59;horn;98;21;29;hund;16;98;67;katz;14;63;82;loew;93;64;44;pony;35;68;66;scha;93;3;10;schl;66;37;0;skal;12;50;7;tige;78;80;1;wink;92;4;6;3;1;6;4;5;3;6;4;5;2;2;1;bear;65;61;5;elef;26;77;3;horn;68;33;8;hund;29;67;5;katz;62;31;7;loew;72;58;5;pony;21;31;7;scha;100;0;6;schl;39;26;6;skal;11;57;6;tige;68;67;4;wink;90;0;5
0e2s3c4satskp6y;19;;;;;;;;;;3;Nein;Nein;m;bear;39;70;33;elef;68;67;33;horn;77;31;31;hund;82;64;64;katz;54;34;81;loew;64;40;64;pony;77;82;68;scha;88;18;0;schl;69;22;1;skal;86;75;60;tige;71;54;33;wink;87;4;56;5;3;1;5;2;4;6;1;3;2;6;4;bear;62;62;7;elef;76;76;4;horn;62;33;1;hund;62;61;6;katz;61;36;3;loew;74;35;6;pony;72;71;8;scha;67;19;1;schl;68;17;4;skal;77;80;3;tige;58;43;5;wink;87;2;3
1rp3dgwwcj4vjnf;25;Hase;;;;;;;;;5;Nein;Nein;m;bear;80;100;0;elef;50;100;0;horn;57;10;73;hund;12;100;67;katz;23;21;50;loew;78;96;0;pony;63;100;11;scha;50;18;11;schl;72;17;25;skal;31;95;26;tige;50;77;0;wink;97;2;32;1;5;2;1;4;4;6;6;5;3;2;3;bear;50;99;2;elef;25;100;6;horn;40;15;4;hund;32;98;5;katz;40;39;6;loew;67;100;6;pony;50;100;5;scha;61;5;5;schl;73;22;6;skal;22;94;3;tige;65;69;4;wink;84;0;5
201efhd840nyk8f;23;Katze;Hund;Fisch;Huhn;Schildkroete;;;;;9;Ja;Ja;w;bear;78;100;11;elef;72;100;39;horn;68;71;63;hund;61;94;82;katz;73;84;89;loew;76;77;20;pony;87;64;75;scha;100;0;7;schl;100;14;13;skal;40;61;75;tige;88;90;25;wink;36;48;65;3;4;2;1;1;5;5;6;2;3;6;4;bear;73;100;3;elef;74;99;3;horn;70;67;3;hund;61;98;2;katz;70;100;2;loew;78;76;5;pony;71;71;5;scha;95;6;5;schl;84;18;2;skal;54;65;3;tige;100;84;6;wink;56;45;4
24brd1augvpoe0h;20;Hund;Katze;Pferd;Schaf;Huhn;Ente;Kanarienvogel;Fisch;Ziege;9;Nein;Nein;w;bear;69;96;4;elef;91;99;15;horn;100;71;66;hund;88;89;93;katz;98;100;100;loew;100;82;15;pony;95;100;99;scha;63;63;78;schl;86;50;73;skal;100;96;98;tige;66;43;16;wink;63;67;73;6;3;2;1;6;3;5;2;1;4;4;5;bear;82;98;5;elef;70;100;2;horn;92;64;4;hund;86;100;1;katz;88;100;7;loew;36;66;3;pony;76;100;3;scha;54;70;2;schl;71;50;2;skal;77;100;6;tige;63;32;4;wink;88;68;3
2maz34rmply0n2f;19;;;;;;;;;;6;Nein;Nein;w;bear;69;37;61;elef;71;97;58;horn;54;43;89;hund;76;100;81;katz;65;63;35;loew;72;32;57;pony;64;84;39;scha;6;34;69;schl;61;50;43;skal;23;68;60;tige;62;50;58;wink;33;36;79;6;3;5;4;4;5;1;2;1;2;6;3;bear;67;24;6;elef;72;100;7;horn;58;40;5;hund;73;100;4;katz;69;57;6;loew;71;20;5;pony;71;74;1;scha;41;43;6;schl;49;40;2;skal;50;57;3;tige;85;44;8;wink;42;46;10
3rxd3xmy7m3g06m;36;Pferd;;;;;;;;;9;Nein;Ja;m;bear;58;65;3;elef;66;84;0;horn;85;16;19;hund;85;34;10;katz;71;100;100;loew;100;73;11;pony;80;96;88;scha;74;7;23;schl;86;9;6;skal;42;62;9;tige;88;26;16;wink;82;0;39;6;5;3;6;4;1;2;2;1;5;4;3;bear;62;57;4;elef;63;62;5;horn;94;32;3;hund;57;53;6;katz;65;87;3;loew;82;45;1;pony;91;88;1;scha;73;9;2;schl;69;35;1;skal;49;50;2;tige;100;7;3;wink;71;20;1
62cg4w9x7e7jtw7;20;Pferd;Meerschwein;;;;;;;;9;Nein;Ja;w;bear;0;100;37;elef;22;86;31;horn;0;73;100;hund;71;80;100;katz;88;82;68;loew;27;82;69;pony;75;94;100;scha;76;6;66;schl;60;40;34;skal;51;52;33;tige;58;73;22;wink;16;59;92;2;6;5;2;1;4;3;1;4;6;3;5;bear;11;100;5;elef;61;83;8;horn;62;39;4;hund;78;95;4;katz;75;93;6;loew;59;41;5;pony;37;97;8;scha;72;2;3;schl;65;33;7;skal;0;52;15;tige;60;43;5;wink;85;22;8
7h104umx33c1cvg;22;Hund;Katze;Ente;Kaninchen;Huhn;Hamster;Maus;Pferd;;4;Nein;Nein;w;bear;67;55;43;elef;91;91;75;horn;74;31;91;hund;89;99;100;katz;81;90;93;loew;69;59;41;pony;55;75;68;scha;93;3;91;schl;57;57;20;skal;43;79;19;tige;80;69;43;wink;89;19;84;4;4;6;6;3;1;2;5;5;1;2;3;bear;63;64;6;elef;77;100;4;horn;82;19;6;hund;89;100;6;katz;70;91;3;loew;58;66;2;pony;65;84;3;scha;89;11;5;schl;98;97;6;skal;40;65;2;tige;67;73;1;wink;90;8;3
8gdu0pg6j42886f;19;Katze;;;;;;;;;7;Ja;Nein;w;bear;59;77;20;elef;70;73;58;horn;75;38;3;hund;55;97;82;katz;63;100;100;loew;85;14;6;pony;81;93;19;scha;44;0;0;schl;66;12;0;skal;34;56;50;tige;81;46;0;wink;73;0;10;3;2;6;2;5;5;1;4;4;6;3;1;bear;44;81;9;elef;50;50;;horn;57;39;12;hund;42;75;7;katz;63;100;11;loew;89;10;16;pony;43;89;6;scha;43;8;8;schl;50;44;9;skal;40;73;9;tige;72;48;13;wink;46;0;5
